year_month,skill,mentions
2024-08,problem_solving,10
2024-08,project_management,11
2024-08,sales,21
2024-08,stakeholder_management,16
2024-08,strategic_planning,18
2024-09,analytical_skills,4
2024-09,bachelors_degree,29
2024-09,communication_skills,12
2024-09,computer_science_degree,14
2024-09,consulting,8
2024-09,cross_functional_collaboration,22
2024-09,google_cloud,8
2024-09,leadership,6
2024-09,marketing,14
2024-09,masters_degree,5
2024-09,problem_solving,9
2024-09,project_management,10
2024-09,sales,18
2024-09,stakeholder_management,18
2024-09,strategic_planning,5
2024-10,analytical_skills,8
2024-10,bachelors_degree,37
2024-10,communication_skills,13
2024-10,computer_science_degree,15
2024-10,consulting,14
2024-10,cross_functional_collaboration,14
2024-10,google_cloud,16
2024-10,leadership,11
2024-10,marketing,16
2024-10,masters_degree,6
2024-10,problem_solving,4
2024-10,project_management,10
2024-10,sales,20
2024-10,stakeholder_management,20
2024-10,strategic_planning,14
2024-11,analytical_skills,4
2024-11,bachelors_degree,25
2024-11,communication_skills,6
2024-11,computer_science_degree,3
2024-11,consulting,5
2024-11,cross_functional_collaboration,17
2024-11,google_cloud,6
2024-11,leadership,10
2024-11,marketing,11
2024-11,masters_degree,6
2024-11,problem_solving,8
2024-11,project_management,7
2024-11,sales,11
2024-11,stakeholder_management,11
2024-11,strategic_planning,10
2024-12,analytical_skills,7
2024-12,bachelors_degree,29
2024-12,communication_skills,10
2024-12,computer_science_degree,9
2024-12,consulting,15
2024-12,cross_functional_collaboration,15
2024-12,google_cloud,9
2024-12,leadership,12
2024-12,marketing,11
2024-12,masters_degree,2
2024-12,problem_solving,11
2024-12,project_management,7
2024-12,sales,13
2024-12,stakeholder_management,8
2024-12,strategic_planning,10
